,total_expr,mean_expr,median_expr,std_expr,n_expressed
G4YW_CD8_naive,5120.981955490979,3.5911514414382744,3.703995016054357,2.4257491680734473,1321
G4YW_CD8_CM,5267.308584766523,3.6937647859512786,3.8202707615038074,2.424369081218163,1338
G4YW_CD8_EM,5418.648300417441,3.7998936188060592,3.898946328805242,2.4929407960215073,1309
CYFZ_PBMC,5389.449689692063,3.779417734706916,3.853033483760405,2.3357411971952358,1388
FY2H_PBMC,5328.642146783321,3.7367756990065364,3.78515917823669,2.4237894707779772,1367
FLWA_PBMC,5504.205091215463,3.8598913683137885,3.9025150922686347,2.3645649848989576,1384
453W_PBMC,5545.348008039444,3.8887433436461736,3.980450289336966,2.3906701468969125,1380
684C_PBMC,5516.295233309571,3.868369728828591,3.889192400770455,2.347481417111716,1382
CZJE_PBMC,5372.070774184019,3.7672305569312896,3.796363168643527,2.3719165144782703,1387
G4YW_CD8_TE,5238.123177273757,3.673298160781036,3.8013941212709335,2.474185415620891,1335
G4YW_MAIT,5168.071465921279,3.624173538514221,3.7978280721911695,2.3834090993031074,1333
G4YW_VD2+,5176.132238412036,3.6298262541458874,3.7742421709504157,2.388051572236559,1336
G4YW_VD2-,5302.473809477998,3.718424831330994,3.8891204823659313,2.4204549332470533,1343
G4YW_TFH,5244.0144117571,3.6774294612602385,3.766509469408512,2.3740201724688754,1342
G4YW_Treg,5269.5110595184615,3.6953092984000433,3.770174909141305,2.364923797948637,1346
G4YW_Th1,5163.887893722038,3.6212397571683295,3.669196706266272,2.3753223422865064,1349
G4YW_Th1/Th17,5184.943727727237,3.6360054191635607,3.6362357808491277,2.43915548362145,1342
G4YW_Th17,5334.019710928322,3.740546781857168,3.812692454308486,2.4244250345437646,1345
G4YW_Th2,5245.54362626185,3.6785018416983517,3.8365071430630238,2.405759460525439,1354
G4YW_CD4_naive,5120.079446680149,3.5905185460590103,3.6861387415033757,2.400505182425964,1318
G4YW_Progenitor,5798.13661360158,4.06601445554108,4.226964750323156,2.187086381663715,1400
G4YW_B_naive,5149.42905312504,3.611100317759495,3.6457875315665715,2.2802039272047216,1360
G4YW_B_NSM,5189.113121970946,3.6389292580441417,3.6824200025167286,2.340673891573477,1364
G4YW_B_Ex,4957.015812825066,3.476168171686582,3.4645768541627913,2.2752677084688298,1358
G4YW_B_SM,5092.7640464590395,3.571363286436914,3.5692692490814357,2.3516479577415796,1341
G4YW_Plasmablasts,3565.1028416585755,2.500072118975158,2.267595075462964,1.988454384664096,1338
G4YW_C_mono,5157.420739605173,3.6167045859783826,3.5872957876672067,2.5247379861188857,1342
G4YW_I_mono,5146.566190880216,3.6090927004770097,3.6378973439580973,2.4724834132826055,1355
G4YW_NC_mono,5195.923758891452,3.643705300765394,3.6960755452731204,2.542990857939948,1346
G4YW_NK,5484.84749226635,3.8463166144925314,3.976530119404133,2.4680914757533037,1358
G4YW_pDC,5094.367136702911,3.5724874731436964,3.6262567218108943,2.5043679209575576,1311
G4YW_mDC,5204.1281111315,3.649458703458275,3.771627134759451,2.4804406696819083,1356
G4YW_Neutrophils,4312.746596302042,3.024366477070156,2.527255693230067,2.653006759512731,1261
