,ENSG00000134184,ENSG00000162627,ENSG00000158747
925L_B_NSM,0.8115797059477983,-0.6581256451396765,-0.6499743801684545
925L_B_Ex,0.6532923007766591,-0.6581256451396765,-0.4379566901723546
925L_B_SM,0.4484728136300186,-0.6581256451396765,-0.6499743801684545
925L_Plasmablasts,-0.03779363526118502,-0.6581256451396765,-0.6499743801684545
925L_C_mono,0.4694804602490098,-0.1391332685052128,-0.6499743801684545
925L_I_mono,-0.16692550891179028,-0.43836369710786854,-0.6499743801684545
925L_NC_mono,-0.14942647286841615,-0.06937955871507016,-0.6499743801684545
925L_NK,0.30977526319780513,-0.6581256451396765,-0.6499743801684545
925L_pDC,0.9759536407874776,-0.6581256451396765,-0.6499743801684545
925L_mDC,0.8351686699760735,-0.6581256451396765,-0.6499743801684545
925L_Neutrophils,-1.6788865831660207,-0.6581256451396765,-0.6499743801684545
925L_Basophils,-0.006771272192157884,-0.6581256451396765,-0.6499743801684545
9JD4_CD8_naive,0.9733244287099458,-0.6581256451396765,-0.6499743801684545
9JD4_CD8_CM,0.2792178053318786,1.151820258705619,0.7583846865038802
9JD4_CD8_EM,0.4457097719603747,0.43909886400850806,-0.18060954137458168
9JD4_CD8_TE,0.5741390861998708,0.9441884970931042,1.5103388394495634
9JD4_MAIT,0.6157532340085949,-0.5273292998614962,1.2448587967226787
9JD4_VD2+,0.4296308410562349,-0.09423338191147461,-0.6499743801684545
9JD4_VD2-,0.9023395664603473,0.5956643592298541,-0.6499743801684545
9JD4_TFH,1.053598692955628,0.10384405774713591,-0.23892187651298663
9JD4_Treg,0.8637950816210265,-0.6581256451396765,1.8273372487375428
9JD4_Th1,0.5684710562108235,0.8989639854805622,1.4451987307376937
9JD4_Th1/Th17,0.3653235137307339,0.8818103736242615,2.0001760956529973
9JD4_Th17,0.6506195804537784,0.441234348630501,2.9471584348600635
9JD4_Th2,0.7393808582613335,0.6921823137010693,2.552244667773019
9JD4_CD4_naive,0.784594008960017,-0.6581256451396765,0.013532680801477412
9JD4_CD4_TE,0.7961472304725937,-0.6581256451396765,1.2134452172734767
9JD4_Progenitor,1.0414430637983627,2.1449607473929353,2.2959298660698546
9JD4_B_naive,0.17353690706451275,3.171743844138675,-0.6499743801684545
9JD4_B_NSM,0.4227486825499572,1.867698576226603,-0.6499743801684545
9JD4_B_Ex,0.22103337622833008,2.242110461120121,-0.6499743801684545
9JD4_B_SM,-0.08500397820118616,2.9319006625068313,-0.6499743801684545
9JD4_Plasmablasts,-0.06979753656221706,0.23195540718835814,-0.6499743801684545
9JD4_C_mono,0.2540111331490694,1.8325664549233411,-0.6499743801684545
