,total_expr,mean_expr,median_expr,std_expr,n_expressed
925L_Basophils,-0.29163932333701237,-0.29163932333701204,-0.32612150472893603,0.8776609528682617,-1.2517252058750379
9JD4_CD8_naive,-0.10324622818335877,-0.10324622818335781,0.10084944545212002,0.03174855168805593,-0.8387290565454077
9JD4_CD8_CM,0.7689274563727196,0.7689274563727202,0.889995753724331,0.20103681610236065,0.12492862522372965
9JD4_CD8_EM,1.00148657210378,1.0014865721037802,0.9795947448827399,0.7379073181756676,0.021679587891322072
9JD4_CD8_TE,0.7328838297503855,0.7328838297503864,1.043181366890796,0.9581419125578238,-0.6322309818805926
9JD4_MAIT,0.26252155249518244,0.26252155249518394,0.48968113878579567,0.36893903639848574,-0.5978146361031234
9JD4_VD2+,0.5932202319775836,0.5932202319775839,0.8821023231607553,0.7705623968559075,-0.39131656143830823
9JD4_VD2-,0.5097378321877883,0.5097378321877891,0.6085881473461112,0.726785429035641,-0.1504021409960239
9JD4_TFH,0.3572114778734048,0.3572114778734061,0.40018892093977815,-0.0025148636720698963,-0.11598579521855469
9JD4_Treg,0.7772902122769395,0.77729021227694,0.9422244501611869,0.019595453198060657,0.021679587891322072
9JD4_Th1,0.7241612961143423,0.7241612961143423,0.7793880087013979,-0.09231795119530338,0.6755901576632367
9JD4_Th1/Th17,0.7304463663950287,0.73044636639503,0.8222640692347364,-0.2551570446592112,0.744422849218175
9JD4_Th17,0.9531329658820581,0.9531329658820583,0.7973604000646017,-0.047876212558558166,0.5723411203308291
9JD4_Th2,0.6748018486773812,0.6748018486773825,0.653490479311485,0.05878219858371611,0.15934497100119882
9JD4_CD4_naive,0.23552728754239408,0.23552728754239477,0.40346608946546814,0.41678232634294765,-0.6322309818805926
9JD4_CD4_TE,0.31113075601209406,0.31113075601209433,0.40874713278341557,0.3838531203465811,-0.5289819445481849
9JD4_Progenitor,1.439830461848326,1.4398304618483264,1.4065496516193523,-1.1391622078191828,1.4327497647675589
9JD4_B_naive,0.04368372041167592,0.043683720411676286,0.21559309447922534,-0.8027778550965792,0.6411738118857675
9JD4_B_NSM,0.12732344472937354,0.12732344472937493,0.25193404412850695,-0.6483679971901698,0.12492862522372965
9JD4_B_Ex,0.06229931950495205,0.06229931950495221,0.3057206981364054,-1.1641463323350627,0.6411738118857675
9JD4_B_SM,0.24713284694576043,0.24713284694576054,0.400616798048622,-1.0430579041211998,0.7100065034407059
9JD4_Plasmablasts,-3.844323263045561,-3.8443232630455593,-3.1783407806687807,-3.520961456873719,-0.4257329072157774
9JD4_C_mono,-0.09461679329820186,-0.09461679329820177,-0.2508368898006359,0.6293448072771323,0.2625940083336064
9JD4_I_mono,-0.1831412623893264,-0.18314126238932552,-0.11945517831128905,0.766169285579325,-0.49456559877071576
9JD4_NC_mono,0.01556054159864664,0.015560541598646735,-0.08992359113502718,0.9003534661410854,-0.11598579521855469
9JD4_NK,0.8873058199329696,0.8873058199329702,0.996418252441611,0.5522775127282823,0.5723411203308291
9JD4_pDC,-0.08451903812186576,-0.08451903812186466,-0.08441658384753374,0.8421066655739675,-0.6666473276580618
9JD4_mDC,0.3920833798791529,0.3920833798791529,0.43276300047165706,0.29880989574289474,0.8476718865505827
9JD4_Neutrophils,-2.2874446621287965,-2.287444662128796,-3.3385263152467277,2.253594116481405,-2.2153828876441755
9JD4_Basophils,-0.09173564858758847,-0.09173564858758754,-0.29690461692807585,0.5188670000622883,-0.5633982903256541
G4YW_CD8_naive,-0.20103343466133247,-0.20103343466133128,-0.01824211424057788,0.004407186029582325,-0.4601492529932466
